YEAR,STATE,Fuel_Type,Registrations
2002,JAMMU AND KASHMIR,PETROL,"2,611"
2002,JHARKHAND,PETROL,"4,344"
2002,KARNATAKA,PETROL,"47,485"
2002,KERALA,PETROL,"26,288"
2002,LADAKH,PETROL,118
2002,LAKSHADWEEP,PETROL,4
2002,MADHYA PRADESH,PETROL,"9,900"
2002,MAHARASHTRA,PETROL,"36,173"
2002,MANIPUR,PETROL,"1,656"
2002,MEGHALAYA,PETROL,"2,879"
2002,MIZORAM,PETROL,"1,186"
2002,NAGALAND,PETROL,"1,106"
2002,ODISHA,PETROL,"5,602"
2002,PUDUCHERRY,PETROL,751
2002,PUNJAB,PETROL,"21,439"
2002,RAJASTHAN,PETROL,"9,954"
2002,SIKKIM,PETROL,152
2002,TAMIL NADU,PETROL,"22,298"
2002,TRIPURA,PETROL,"1,101"
2002,UT OF DNH AND DD,PETROL,"1,453"
2002,UTTARAKHAND,PETROL,"5,185"
2002,UTTAR PRADESH,PETROL,"31,273"
2002,WEST BENGAL,PETROL,"26,012"
2002,ANDAMAN & NICOBAR ISLAND,PETROL/CNG,0
2002,ANDHRA PRADESH,PETROL/CNG,35
2002,ARUNACHAL PRADESH,PETROL/CNG,0
2002,ASSAM,PETROL/CNG,8
2002,BIHAR,PETROL/CNG,0
2002,CHANDIGARH,PETROL/CNG,1
2002,CHHATTISGARH,PETROL/CNG,8
2002,DELHI,PETROL/CNG,"12,319"
2002,GOA,PETROL/CNG,6
2002,GUJARAT,PETROL/CNG,"9,942"
2002,HARYANA,PETROL/CNG,"1,258"
2002,HIMACHAL PRADESH,PETROL/CNG,8
2002,JAMMU AND KASHMIR,PETROL/CNG,1
2002,JHARKHAND,PETROL/CNG,5
2002,KARNATAKA,PETROL/CNG,20
2002,KERALA,PETROL/CNG,21
2002,LADAKH,PETROL/CNG,0
2002,LAKSHADWEEP,PETROL/CNG,0
2002,MADHYA PRADESH,PETROL/CNG,98
2002,MAHARASHTRA,PETROL/CNG,"2,566"
2002,MANIPUR,PETROL/CNG,0
2002,MEGHALAYA,PETROL/CNG,1
2002,MIZORAM,PETROL/CNG,2
2002,NAGALAND,PETROL/CNG,0
2002,ODISHA,PETROL/CNG,3
2002,PUDUCHERRY,PETROL/CNG,1
2002,PUNJAB,PETROL/CNG,83
2002,RAJASTHAN,PETROL/CNG,42
2002,SIKKIM,PETROL/CNG,0
2002,TAMIL NADU,PETROL/CNG,4
2002,TRIPURA,PETROL/CNG,11
2002,UT OF DNH AND DD,PETROL/CNG,18
2002,UTTARAKHAND,PETROL/CNG,19
