year,month,Fuel_Type,value,fuel_category
2004,6,DIESEL,33258.0,Diesel
2004,6,DIESEL/HYBRID,1.0,Diesel
2004,6,ELECTRIC(BOV),16.0,Electric (EV)
2004,6,ETHANOL,0.0,Alternative Fuels
2004,6,LPG ONLY,47.0,CNG/LPG
2004,6,NOT APPLICABLE,2757.0,Unknown/Other
2004,6,PETROL,41790.0,Petrol
2004,6,PETROL/CNG,3701.0,Petrol
2004,6,PETROL/HYBRID,1.0,Petrol
2004,6,PETROL/LPG,3796.0,Petrol
2004,6,SOLAR,1.0,Alternative Fuels
2004,7,CNG ONLY,76.0,CNG/LPG
2004,7,DIESEL,35977.0,Diesel
2004,7,DIESEL/HYBRID,1.0,Diesel
2004,7,ELECTRIC(BOV),21.0,Electric (EV)
2004,7,ETHANOL,0.0,Alternative Fuels
2004,7,LPG ONLY,45.0,CNG/LPG
2004,7,NOT APPLICABLE,3062.0,Unknown/Other
2004,7,PETROL,45141.0,Petrol
2004,7,PETROL/CNG,4299.0,Petrol
2004,7,PETROL/HYBRID,2.0,Petrol
2004,7,PETROL/LPG,3792.0,Petrol
2004,7,SOLAR,0.0,Alternative Fuels
2004,8,CNG ONLY,60.0,CNG/LPG
2004,8,DIESEL,29253.0,Diesel
2004,8,DIESEL/HYBRID,0.0,Diesel
2004,8,ELECTRIC(BOV),9.0,Electric (EV)
2004,8,ETHANOL,0.0,Alternative Fuels
2004,8,LPG ONLY,76.0,CNG/LPG
2004,8,NOT APPLICABLE,2435.0,Unknown/Other
2004,8,PETROL,39821.0,Petrol
2004,8,PETROL/CNG,3446.0,Petrol
2004,8,PETROL/HYBRID,0.0,Petrol
2004,8,PETROL/LPG,3385.0,Petrol
2004,8,SOLAR,2.0,Alternative Fuels
2004,9,CNG ONLY,72.0,CNG/LPG
2004,9,DIESEL,31609.0,Diesel
2004,9,DIESEL/HYBRID,3.0,Diesel
2004,9,ELECTRIC(BOV),23.0,Electric (EV)
2004,9,ETHANOL,0.0,Alternative Fuels
2004,9,LPG ONLY,94.0,CNG/LPG
2004,9,NOT APPLICABLE,2474.0,Unknown/Other
2004,9,PETROL,42854.0,Petrol
2004,9,PETROL/CNG,4264.0,Petrol
2004,9,PETROL/HYBRID,1.0,Petrol
2004,9,PETROL/LPG,3817.0,Petrol
2004,9,SOLAR,1.0,Alternative Fuels
2004,10,CNG ONLY,81.0,CNG/LPG
2004,10,DIESEL,29938.0,Diesel
2004,10,DIESEL/HYBRID,2.0,Diesel
2004,10,ELECTRIC(BOV),25.0,Electric (EV)
2004,10,ETHANOL,0.0,Alternative Fuels
2004,10,LPG ONLY,62.0,CNG/LPG
2004,10,NOT APPLICABLE,2238.0,Unknown/Other
2004,10,PETROL,42000.0,Petrol
2004,10,PETROL/CNG,4561.0,Petrol
2004,10,PETROL/HYBRID,0.0,Petrol
2004,10,PETROL/LPG,3611.0,Petrol
2004,10,SOLAR,0.0,Alternative Fuels
2004,11,CNG ONLY,93.0,CNG/LPG
2004,11,DIESEL,31415.0,Diesel
2004,11,DIESEL/HYBRID,2.0,Diesel
2004,11,ELECTRIC(BOV),28.0,Electric (EV)
2004,11,ETHANOL,0.0,Alternative Fuels
2004,11,LPG ONLY,99.0,CNG/LPG
2004,11,NOT APPLICABLE,2295.0,Unknown/Other
2004,11,PETROL,48766.0,Petrol
2004,11,PETROL/CNG,5392.0,Petrol
2004,11,PETROL/HYBRID,1.0,Petrol
2004,11,PETROL/LPG,4219.0,Petrol
2004,11,SOLAR,1.0,Alternative Fuels
2004,12,CNG ONLY,106.0,CNG/LPG
2004,12,DIESEL,31990.0,Diesel
2004,12,DIESEL/HYBRID,1.0,Diesel
2004,12,ELECTRIC(BOV),21.0,Electric (EV)
2004,12,ETHANOL,0.0,Alternative Fuels
2004,12,LPG ONLY,77.0,CNG/LPG
2004,12,NOT APPLICABLE,2740.0,Unknown/Other
2004,12,PETROL,48757.0,Petrol
2004,12,PETROL/CNG,5119.0,Petrol
2004,12,PETROL/HYBRID,0.0,Petrol
2004,12,PETROL/LPG,3694.0,Petrol
2004,12,SOLAR,1.0,Alternative Fuels
2005,1,CNG ONLY,75.0,CNG/LPG
2005,1,DIESEL,34746.0,Diesel
2005,1,DIESEL/HYBRID,2.0,Diesel
2005,1,ELECTRIC(BOV),13.0,Electric (EV)
2005,1,LNG,0.0,Alternative Fuels
2005,1,LPG ONLY,105.0,CNG/LPG
2005,1,METHANOL,1.0,Alternative Fuels
2005,1,NOT APPLICABLE,2503.0,Unknown/Other
2005,1,PETROL,48001.0,Petrol
2005,1,PETROL/CNG,4941.0,Petrol
2005,1,PETROL/HYBRID,1.0,Petrol
2005,1,PETROL/LPG,4245.0,Petrol
2005,1,SOLAR,0.0,Alternative Fuels
2005,2,CNG ONLY,102.0,CNG/LPG
2005,2,DIESEL,34313.0,Diesel
2005,2,DIESEL/HYBRID,5.0,Diesel
2005,2,ELECTRIC(BOV),11.0,Electric (EV)
2005,2,LNG,0.0,Alternative Fuels
2005,2,LPG ONLY,79.0,CNG/LPG
2005,2,METHANOL,0.0,Alternative Fuels
2005,2,NOT APPLICABLE,2819.0,Unknown/Other
2005,2,PETROL,41975.0,Petrol
2005,2,PETROL/CNG,4802.0,Petrol
2005,2,PETROL/HYBRID,1.0,Petrol
2005,2,PETROL/LPG,3707.0,Petrol
2005,2,SOLAR,1.0,Alternative Fuels
2005,3,CNG ONLY,72.0,CNG/LPG
2005,3,DIESEL,40009.0,Diesel
2005,3,DIESEL/HYBRID,3.0,Diesel
2005,3,ELECTRIC(BOV),16.0,Electric (EV)
2005,3,LNG,0.0,Alternative Fuels
2005,3,LPG ONLY,102.0,CNG/LPG
2005,3,METHANOL,0.0,Alternative Fuels
2005,3,NOT APPLICABLE,3616.0,Unknown/Other
2005,3,PETROL,50138.0,Petrol
2005,3,PETROL/CNG,5503.0,Petrol
2005,3,PETROL/HYBRID,0.0,Petrol
2005,3,PETROL/LPG,4127.0,Petrol
2005,3,SOLAR,2.0,Alternative Fuels
2005,4,CNG ONLY,62.0,CNG/LPG
2005,4,DIESEL,32586.0,Diesel
2005,4,DIESEL/HYBRID,5.0,Diesel
2005,4,ELECTRIC(BOV),9.0,Electric (EV)
2005,4,LNG,0.0,Alternative Fuels
2005,4,LPG ONLY,74.0,CNG/LPG
2005,4,METHANOL,0.0,Alternative Fuels
2005,4,NOT APPLICABLE,2830.0,Unknown/Other
2005,4,PETROL,44905.0,Petrol
2005,4,PETROL/CNG,4836.0,Petrol
2005,4,PETROL/HYBRID,0.0,Petrol
2005,4,PETROL/LPG,3693.0,Petrol
2005,4,SOLAR,1.0,Alternative Fuels
2005,5,CNG ONLY,67.0,CNG/LPG
2005,5,DIESEL,34827.0,Diesel
2005,5,DIESEL/HYBRID,0.0,Diesel
2005,5,ELECTRIC(BOV),25.0,Electric (EV)
2005,5,LNG,0.0,Alternative Fuels
2005,5,LPG ONLY,53.0,CNG/LPG
2005,5,METHANOL,0.0,Alternative Fuels
2005,5,NOT APPLICABLE,2880.0,Unknown/Other
2005,5,PETROL,45475.0,Petrol
2005,5,PETROL/CNG,5206.0,Petrol
2005,5,PETROL/HYBRID,0.0,Petrol
2005,5,PETROL/LPG,3961.0,Petrol
2005,5,SOLAR,1.0,Alternative Fuels
2005,6,CNG ONLY,48.0,CNG/LPG
2005,6,DIESEL,34953.0,Diesel
2005,6,DIESEL/HYBRID,1.0,Diesel
2005,6,ELECTRIC(BOV),10.0,Electric (EV)
2005,6,LNG,0.0,Alternative Fuels
2005,6,LPG ONLY,63.0,CNG/LPG
2005,6,METHANOL,0.0,Alternative Fuels
2005,6,NOT APPLICABLE,2491.0,Unknown/Other
2005,6,PETROL,43563.0,Petrol
2005,6,PETROL/CNG,4740.0,Petrol
2005,6,PETROL/HYBRID,1.0,Petrol
2005,6,PETROL/LPG,3689.0,Petrol
2005,6,SOLAR,0.0,Alternative Fuels
2005,7,CNG ONLY,65.0,CNG/LPG
2005,7,DIESEL,33948.0,Diesel
2005,7,DIESEL/HYBRID,2.0,Diesel
2005,7,ELECTRIC(BOV),27.0,Electric (EV)
2005,7,LNG,0.0,Alternative Fuels
2005,7,LPG ONLY,93.0,CNG/LPG
2005,7,METHANOL,0.0,Alternative Fuels
2005,7,NOT APPLICABLE,2679.0,Unknown/Other
2005,7,PETROL,46017.0,Petrol
2005,7,PETROL/CNG,5331.0,Petrol
2005,7,PETROL/HYBRID,0.0,Petrol
2005,7,PETROL/LPG,3710.0,Petrol
2005,7,SOLAR,2.0,Alternative Fuels
